,Title,Platform,Userscore,Comment,Username
10,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"Essentially one of the best games of all time, no cheese. Pros: Beautiful graphics for the N64; subtle, but challenging gameplay; variety of dungeons, puzzles, and secrets; innovative and imaginative. Cons: If Ocarina of Time had faults, it would be its often dull dungeon design, camera issues, and it has one of the worst power-ups to date.",KendylKlownfish
11,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"THIS is the PERFECT game ! no doubt. the gameplay is still better than in any other game. compared with other fantastic games like uncharted 2, the metal gear solid series or the mario series, it is the ultimate video game. i wish i could play the game like the first time. it was overwhelming",Boffboff
12,The Legend of Zelda: Ocarina of Time,Nintendo64,10,there is a reason this game garners the respect and is revered like it is. cause it is epic. to do what they did with the limitations of the n64 and tombstone cartridge is nothing short of amazing. if you haven't played it through do yourself a favour.,Bolts
13,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"Pure freaking magic, trolls can rage against the game as much as they want; when a discussion of the greatest game of all time comes up, Ocarina stands as king.",TheJokerJulian
14,The Legend of Zelda: Ocarina of Time,Nintendo64,10,El juego perfecto. Insuperable por lo que supuso. No habrá nunca una revolución igual. Lo mejor de la época y un espejo en el que miran los juegos de ahora. Seguirá en lo mas alto por siempre,velasco92
15,The Legend of Zelda: Ocarina of Time,Nintendo64,10," The best game of it's time, virtually as perfect as the N64 can take.",JordanI.
16,The Legend of Zelda: Ocarina of Time,Nintendo64,10," Amazing game in every aspect, i just want to point out, Lev, what do you mean it has a weak storyline. It has one of the best storylines of all time, the reason it seems generic is because its an old story, many, many stories copied off of this. Now thats not to say that zelda didn't take inspiration from other stories, but obviously made it their own. There has never been a story in Amazing game in every aspect, i just want to point out, Lev, what do you mean it has a weak storyline. It has one of the best storylines of all time, the reason it seems generic is because its an old story, many, many stories copied off of this. Now thats not to say that zelda didn't take inspiration from other stories, but obviously made it their own. There has never been a story in any other game that got me more involved then this one.",brentl
17,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"The best game EVER is so challenging and is for thing 100 hours,i love this cool game...............................................................sosososososososo good",Dankiller127
18,The Legend of Zelda: Ocarina of Time,Nintendo64,10,nice game i love game :D....................................................................................................................................................,leondaniel21
19,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"Hands down, the best game of all time. My favorite game on any list. Right from the first moment, your captured into the gameplay and you don't want to stop playing. the landscape is beautiful, the monsters are something you wouldnt expect, the dungeons are challenging yet fun, and the bosses are a landmark to beat. Once you beat the game the first time, you accually feel like you haveHands down, the best game of all time. My favorite game on any list. Right from the first moment, your captured into the gameplay and you don't want to stop playing. the landscape is beautiful, the monsters are something you wouldnt expect, the dungeons are challenging yet fun, and the bosses are a landmark to beat. Once you beat the game the first time, you accually feel like you have rescued a real princess and saved a real kingdom. The time playable land is massive and it will take some time to get everything, but the reward is well worth it. Hands down. Best. Game. Ever.",Winky-Nichols
20,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"One of (or the) best game ever made. Anyone who gives the masterpiece below a 7 or an 8 is either just here to hate on the astounding zelda franchise, doesn't know a DAMN good game or is insane. [2]",ChrnoTodd
21,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"People say it's overrated. I played it in 2006 after beating WindWaker, Minish Cap and Twilight Princess. This was not my first Zelda and yet I still put it above all others and somehow I've grown nostalgic over it in such a short amount of time. Music is amazing, world is so expansive for such an old game, characters and story is interesting and it keeps gameplay and exploration freshPeople say it's overrated. I played it in 2006 after beating WindWaker, Minish Cap and Twilight Princess. This was not my first Zelda and yet I still put it above all others and somehow I've grown nostalgic over it in such a short amount of time. Music is amazing, world is so expansive for such an old game, characters and story is interesting and it keeps gameplay and exploration fresh throughout. Best Zelda game IMO and worthy of more than a 10/10.",Kr1sP
22,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"I don`t know why but I have seen some people giving negative scores for this game. If they were wrong? YES, completely wrong! All I have to say is those people who gives low grades to this big of a game is either completely crazy, or is a hater, or do not know how to play the game and because of that gives it a low score. This game despite how old it is, still makes me fascinated with itsI don`t know why but I have seen some people giving negative scores for this game. If they were wrong? YES, completely wrong! All I have to say is those people who gives low grades to this big of a game is either completely crazy, or is a hater, or do not know how to play the game and because of that gives it a low score. This game despite how old it is, still makes me fascinated with its cinematic effects and graphics(by the way, graphics doesn`t matter, what matters is the fun). I did not accomplished the entire game a.k.a. side quests, but I accomplished the main storyline and that was REALLY worth of my time, I simply loved this game, it made me a fan of the Zelda games, I highly recommend that you play it, you surely won`t regret it, it's as the critics says a Masterpiece. And I have to say thanks to Shigeru Myamoto and Nintendo. Now if you excuse me, I have a new adventure to set on Zelda: Skyward Sword!",Plaster
23,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"Ignore all the butthurt Call of Duty fans who rated this low. They're just mad that their series isn't the highest rated on Metacritic and has been named ""Best Game of All Time"" by many.While the graphics and gameplay may not have aged 100% perfectly, this is truly a great game and I wholeheartedly recommend it for gamers of any age or preference. Don't let the stereotype of ""TheIgnore all the butthurt Call of Duty fans who rated this low. They're just mad that their series isn't the highest rated on Metacritic and has been named ""Best Game of All Time"" by many.While the graphics and gameplay may not have aged 100% perfectly, this is truly a great game and I wholeheartedly recommend it for gamers of any age or preference. Don't let the stereotype of ""The Legend of Zelda"" fool you. This series is truly the king of all video games.",Nirex8895
24,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"Easilly the greatest game ever made, when it was released, Nintendo took a huge risk, and it payed off, the enviorments still stand out to this very day, and the games music is some of the greatest in , the story is original, the characters are memorable, the controls are simple and fluent, it is a game flawless on all levels",Dude45
25,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"The highest scoring game on Metacritic and every other review site/magazine/etc, and it's no lie. The story, gameplay, pace and every other factor cohere in a way that makes OoT an amazing adventure that will never be forgotten. Screwed into the golden side of gaming history through unbreakable forces, The Legend of Zelda: Ocarina of Time is a masterpiece to be respected by gamers andThe highest scoring game on Metacritic and every other review site/magazine/etc, and it's no lie. The story, gameplay, pace and every other factor cohere in a way that makes OoT an amazing adventure that will never be forgotten. Screwed into the golden side of gaming history through unbreakable forces, The Legend of Zelda: Ocarina of Time is a masterpiece to be respected by gamers and non-gamers as art.",ja52ng74
26,The Legend of Zelda: Ocarina of Time,Nintendo64,10,This game is one of if not the Best game Ever made. Rather It Brings you nostalgia or not it is a Perfect masterpiece. And for all those 9 year old retard Call of duty Fans. Who by the way has never played a game other than First person Shooters. I say Shame on you. And if your one of those Graphics hating Retards. This game Had some of the Best Graphics of any game in 1998. And if yourThis game is one of if not the Best game Ever made. Rather It Brings you nostalgia or not it is a Perfect masterpiece. And for all those 9 year old retard Call of duty Fans. Who by the way has never played a game other than First person Shooters. I say Shame on you. And if your one of those Graphics hating Retards. This game Had some of the Best Graphics of any game in 1998. And if your Still irritated by the Graphics Buy the one for the 3ds it's graphics are Better. Point is The Games a outstanding.,Ross1021670
27,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"Easily the BEST game i have ever played! From the beautiful world of hyrule, to the lovable characters, to the fun, and brutal dungeons, this game achieves everything with perfection. There is literally nothing bad i can say about this game. It is video games biggest achievement, has been the highest rated game since release, and anyone who disagrees is a hater, never played, or justEasily the BEST game i have ever played! From the beautiful world of hyrule, to the lovable characters, to the fun, and brutal dungeons, this game achieves everything with perfection. There is literally nothing bad i can say about this game. It is video games biggest achievement, has been the highest rated game since release, and anyone who disagrees is a hater, never played, or just crazy. Just know that OOT will always be better than your favorite game. :)",ClassicGamer89
28,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"Ocarina of Time is the best game ever made; I need not give the full title of this game let alone explain the ranking. Words cannot describe this game. It was the first 3D Zelda game, and it's one of the most epic games of all time. This game is old, but it never gets old. It's stood the test of time, and after 12 years this game is still the best. I have never heard anyone saying anythingOcarina of Time is the best game ever made; I need not give the full title of this game let alone explain the ranking. Words cannot describe this game. It was the first 3D Zelda game, and it's one of the most epic games of all time. This game is old, but it never gets old. It's stood the test of time, and after 12 years this game is still the best. I have never heard anyone saying anything remotely negative about this game, so I know that this is the correct ranking. This is THE golden standard of video games. This game is the reason I will never sell my Nintendo 64. Critic score is a 99? Anything less than a 100 is a sham. It's very true that there's no such thing as a perfect game, but everything in the world is completely arbitrary without an accepted standard. This game is the standard because it's the highest rated game of all time (Guinness World Records officially named it such). You have no choice but to compare this game to every other game. it is perfect in every way. It never gets boring and everything about it is just...perfect.",Wpnfire
29,The Legend of Zelda: Ocarina of Time,Nintendo64,10," This game is the definition of GREATNESS. This is the 2nd best game ever. Story is awesome, the graphics for the 90s makes you feel in the game. The Gameplay is... do i have to say it? really? This game deserves a 99999999 out of 10, but since i can't do that, it gets a 10.",Shane95
30,The Legend of Zelda: Ocarina of Time,Nintendo64,10, This game is one of the best games ever created. It just disappoints me that so many people who play games on the Xbox360 or PS3 find this game as crap because of the graphics. They don't realize that this game came out in 1998.,WinterC
31,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"Â¿El mejor videojuego de la historia? Eso es imposible para cualquier videojuego pero... Â¿El considerado mejor videojuego de la historia? Si, y se lo ha ganado a pulso. Un clasico atemporal que no puede faltar en tu coleccion junto a otros juegos de su quinta como Meta Gear Solid, FFVII, Super Mario 64, etc...",battousai_hades
32,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"Just play it, if you don't think it's the greatest game ever (considering it's time) then sell all of your consoles, give away all of your games, and never play a video game again, you are not worthy!",LemonlyFresh
33,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"The Legend of Zelda: Ocarina of Time is not only the best game on the N64 in 1998, but one the greatest action adventure games of all times. Does it hold up today? In my personal opinion, it holds up pretty well and was pretty close to perfection. The visuals may look outdated today, but you cannot deny yourself that the atmosphere in the destinations within Hyrule are mesmerizing toThe Legend of Zelda: Ocarina of Time is not only the best game on the N64 in 1998, but one the greatest action adventure games of all times. Does it hold up today? In my personal opinion, it holds up pretty well and was pretty close to perfection. The visuals may look outdated today, but you cannot deny yourself that the atmosphere in the destinations within Hyrule are mesmerizing to explore in this game. The locations, the character designs, the temples, the story and the soundtrack (especially the soundtrack) are absolutely memorable through out this game and this game practically made me became a Zelda fan in the first place. I could see why there are some people whether they are Zelda fans or not that they are too fond with this Zelda title. It's a bit identical to A Link to the Past on the SNES, but with 3D rendered visuals and there is a lack of personality within many characters compared to the later Zelda games where character personalities has improved in. However, for Nintendo to produce an engaging story for their first 3D Zelda game, it became forgivable for its time. This maybe a really overrated Zelda game, but there's a reason why people prefer Legend of Zelda: Ocarina of Time as an instant classic.",TipsyMcBee
34,The Legend of Zelda: Ocarina of Time,Nintendo64,10,No more needs to be said about this game. The best game ever? I'm not sure but if any game has to have that title then I don't mind it being this one. Games don't come much better than this.,ImUnavailable
35,The Legend of Zelda: Ocarina of Time,Nintendo64,10,This is the single best no not only game but entertainment package. Ever. In my opinion and in many others. For many many many reasons. This game invented targeting systems which has been used my many many many games since. I think it has the best and easiest to grasp and relate too stories in a game ever. Its so simple yet if you want to get into it enough you will notice that nintendoThis is the single best no not only game but entertainment package. Ever. In my opinion and in many others. For many many many reasons. This game invented targeting systems which has been used my many many many games since. I think it has the best and easiest to grasp and relate too stories in a game ever. Its so simple yet if you want to get into it enough you will notice that nintendo has given you so much depth to read about and explore in the game. IT IS AN EPIC MY FRIENDS.,takepantsoff
36,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"What can I say that hasn't been said?Nothing.It's almost if not completely perfect! Gameplay is pure,Zelda awesomeness.Oh yeah and if you said it was boring,it's because you suck at it and you only like fps games where all you do is run in and go,""I'M RAMBO!!!!BAMBLAMCHIGGABOOM!"". These people are what I call ""fraggots"" fps nerds who hate anything without guns and judge everything byWhat can I say that hasn't been said?Nothing.It's almost if not completely perfect! Gameplay is pure,Zelda awesomeness.Oh yeah and if you said it was boring,it's because you suck at it and you only like fps games where all you do is run in and go,""I'M RAMBO!!!!BAMBLAMCHIGGABOOM!"". These people are what I call ""fraggots"" fps nerds who hate anything without guns and judge everything by graphics.Hence the word ""frag"" coming from ""frag grenade"",often used in fps games.Though Nintendo geeks can get annoying,too.But,I've gotten sidetracked.The controls,story,graphics (for it's time),gameplay,characters, and overall nostalgia are amazing.A 10 out of 10.An almost (if not completely) perfect game!",pixleking
37,The Legend of Zelda: Ocarina of Time,Nintendo64,10,The game that is considered by many the greatest of all time. I am just thankful to have witnessed this epic adventure back then and i´ll never forget the experience that i have made with OoT.,Caestus
38,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"If you watch the negative scores... it's only haters and people who never played the game... some even say Bad graphics... it was 1998 ffs and some say no story... lol, just lol, play the game before doing the review.I love this game for the simple fact that it makes you get in front of your tv and makes you want not to stop playing it. It's so good. my favourite game ever",Ken-chan
39,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"The Legend of Zelda: Ocarina of Time was one of the first games in which i picked up for the Nintendo 64 and continue to have it to this day, is an essential to the collection as it is, simply put, a masterpiece and really the centerpiece of excellence in the gaming industry at the time, Zelda really started my love for the Action-Adventure genre as it immersed the user in a world ofThe Legend of Zelda: Ocarina of Time was one of the first games in which i picked up for the Nintendo 64 and continue to have it to this day, is an essential to the collection as it is, simply put, a masterpiece and really the centerpiece of excellence in the gaming industry at the time, Zelda really started my love for the Action-Adventure genre as it immersed the user in a world of fantasy, the one thing i truly love and appreciate about this game was the soundtrack and sound effects, for example there was nothing more satisfying than collecting jems and breaking jars, as well as fighting scenes when music picked up a notch. This game was one of the first games in which i actually experienced the use of music to submerge the user into the fantasy world. Really just a beautiful story and really truely a masterpiece at the time.",Distrex
40,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"С чего бы начать... Это лучшая игра на свете, она волшебна. Саундтрек великолепен. Геймплей шикарен. Сюжет простой  но очаровательный 12/10",Akauro
41,The Legend of Zelda: Ocarina of Time,Nintendo64,10,"I played it when I was a kid... good times... but in so much time, there's only one game that can fight with it for the place of the best gamer ever... and it's Zelda Breath of the Wild ;DThis is one of the BEST **** GAMES EVER!",Unmoth
42,The Legend of Zelda: Ocarina of Time,Nintendo64,10,Quien no le de un 10 a este juego es un niño rataocarina of time es el mejor juego de la historia.................................................................................,Ps4esmierda
43,The Legend of Zelda: Ocarina of Time,Nintendo64,10," Cat F., if they changed the plot and characters and towns and such... well, look at what crap Majora's Mask was. I can't argue with you on your level of entertainment. That's YOUR opionion. I can't change it. But I think OoT is a true Zelda game.",Y.Y.
44,The Legend of Zelda: Ocarina of Time,Nintendo64,10, The most addictive game I ever played! Can't wait to get my hands on Majora's Mask.,LinaL.
45,The Legend of Zelda: Ocarina of Time,Nintendo64,10," As far as I'm concerned this is one of the best, if not thee best games ever made. Even when i defeated the game i just erased my file and started over. Its so big that you can do just that and still have fun.",BurtQ.
46,The Legend of Zelda: Ocarina of Time,Nintendo64,10," Certainly the best 1 player game of all time. It mixes fantasy, role playing, and action into a game that has a premise of a young boy with serious overtones. Themes include maturing quickly, accepting who one is, and the eternal questions of the effects of time travel (I mean, come on, the whole thing with the Shadow Temple is mind-bending). Very few games can boast a premise this rich, Certainly the best 1 player game of all time. It mixes fantasy, role playing, and action into a game that has a premise of a young boy with serious overtones. Themes include maturing quickly, accepting who one is, and the eternal questions of the effects of time travel (I mean, come on, the whole thing with the Shadow Temple is mind-bending). Very few games can boast a premise this rich, smart, and well-thought out. Anyone who has problems with this game simply doesn't know what the word 'superb' means.",JoeB.
47,The Legend of Zelda: Ocarina of Time,Nintendo64,10," Excellent game......just flawless, great story line, great gameplay, perfect interactivity, really sucks you into a world with no limitations",MitchellE.
48,The Legend of Zelda: Ocarina of Time,Nintendo64,10," This is the single greatest game of all time. The first time I played this game I did it purely out of curiosity. I had never played a Zelda game in my life. Within the first 20 minutes of playing this game I knew that I had not played a more enjoyable and engrossing game before in my entire life. This game (along with Super Mario 64, Banjo Kazooie, Goldeneye, Mario Kart 64 and Diddy Kong This is the single greatest game of all time. The first time I played this game I did it purely out of curiosity. I had never played a Zelda game in my life. Within the first 20 minutes of playing this game I knew that I had not played a more enjoyable and engrossing game before in my entire life. This game (along with Super Mario 64, Banjo Kazooie, Goldeneye, Mario Kart 64 and Diddy Kong Racing) truly made the N64 the greatest gaming console in existence.",ThomasR.
49,The Legend of Zelda: Ocarina of Time,Nintendo64,10," Once in a while, you get those games that everybody talks about, and you fall into the lure of your peers, so you buy it. Zelda 64 is one of the games you buy yourself. This is the best game to ever be released on any platform. And no, don't tell me GTA is better than this because no, it just isn't. So go out and buy an N64 if you haven't already(if you can find them) and Once in a while, you get those games that everybody talks about, and you fall into the lure of your peers, so you buy it. Zelda 64 is one of the games you buy yourself. This is the best game to ever be released on any platform. And no, don't tell me GTA is better than this because no, it just isn't. So go out and buy an N64 if you haven't already(if you can find them) and get this game. Lock yourself into a room and play it 'till you can say wow for the fifth hundredth time. Or until you finish the game.",Zach
50,The Legend of Zelda: Ocarina of Time,Nintendo64,10, This is the best game ever. You can either complete the temples or play every once in a while in all the other side missions and mini games. It is incredible.,QuiqueC.
51,The Legend of Zelda: Ocarina of Time,Nintendo64,10," Quite simply, the best video game I've ever played. Everything, the game play, story, graphics... is perfect.",JakeM.
52,The Legend of Zelda: Ocarina of Time,Nintendo64,10," Truly, not a single Adventure/RPG can compare to this game. It may look dated now but graphics do not add or subtract anything from gameplay. Possibly the best game of the last century. If you hate this game, you hate gaming.",ShaneK.
53,The Legend of Zelda: Ocarina of Time,Nintendo64,10," The best game ever made, is perfect in any aspect of the game, music, graphics , story , the way that you target an enemy , this should be taken in consideration in games like GTA, where this is a huge flaw. The history of the game is amazing everything in the game is amazing. For younger people that maybe didn",CarlosS.
